6293;LA PARTIDA DE LA GITANA;AIRBAG;ROCK
1248;YA TIENE QUINCE A�OS;ALADINO;ROCKOLERA
1986;TU TIENES LA CULPA;ALADINO;ROCKOLERA
2163;MUJER BOLERA;ALADINO;ROCKOLERA
2237;LA OTRA;ALADINO;ROCKOLERA
2292;TU PERFUME;ALADINO;BACHATA
3382;PENA;ALADINO;ROCKOLERA
3874;EYE IN THE SKY;ALAN PARSONS;BALADA INGLES
3057;BAILANDO;ALASKA & DINARAMA;POP
3079;NI TU NI NADIE;ALASKA & DINARAMA;ROCK LATINO
5757;COMO PUDISTE HACERME ESTO A MI;ALASKA & DINARAMA;BALADA
3154;ARENA BLANCA MAR AZUL;ALBANO & ROMINA;BALADA
4318;FELICIDAD;ALBANO & ROMINA;BALADA
449;SIEMPRE, SIEMPRE TU;ALBANO Y ROMINA;BALADA
471;ECHAME A MI LA CULPA;ALBERT HAMMOND;BALADA
3242;SI ME AMARAS;ALBERT HAMMOND;BALADA
3770;ERES TODA UNA MUJER;ALBERT HAMMOND;BALADA
2401;A MIS AMIGOS;ALBERTO CORTEZ;BOLERO
2430;CUANDO UN AMIGO SE VA;ALBERTO CORTEZ;BOLERO
3208;CASTILLOS EN EL AIRE;ALBERTO CORTEZ;BALADA
4227;MI ARBOL Y YO;ALBERTO CORTEZ;BALADA
4372;MI MADRE Y EL AIRE;ALBERTO CORTEZ;BALADA
5801;A PARTIR DE MA�ANA;ALBERTO CORTEZ;BALADA
6154;CALLEJERO;ALBERTO CORTEZ;BALADA
6759;LOS EJES DE MI CARRETA;ALBERTO CORTEZ;BALADA
418;FEELING;ALBERTO MORRIS;BALADA INGLES
721;AVENTURERA;ALBERTO PLAZA;BALADA
820;YO TE SEGUIRE;ALBERTO PLAZA;BALADA
1063;BANDIDO;ALBERTO PLAZA;BALADA
1905;AHORA;ALBERTO PLAZA;BALADA
2811;COMPLICES;ALBERTO PLAZA;BALADA
3159;DE TU AUSENCIA;ALBERTO PLAZA;BALADA
3844;SENTENCIA;ALBERTO PLAZA;BALADA
4234;POLVO DE ESTRELLAS;ALBERTO PLAZA;BALADA
4284;NO ME QUITES LA ILUSION;ALBERTO PLAZA;BALADA
5911;FEBRERO CATORCE;ALBERTO PLAZA;BALADA
5929;NO SEAS CRUEL;ALBERTO PLAZA;BALADA
6998;YO TE CANTO;ALBERTO PLAZA;FOLCLORICA
29;VASIJA DE BARRO;ALBERTO VALENCIA;TONADA
476;LO ERES TODO PARA MI;ALBERTO VASQUEZ;BALADA
3068;EL PECADOR;ALBERTO VASQUEZ;BALADA
4798;TU SIGNIFICAS TODO PARA MI;ALBERTO VAZQUEZ;BALADA
131;EL ULTIMO BESO;ALCI ACOSTA;ROCKOLERA
589;EL CONTRAGOLPE;ALCI ACOSTA;ROCKOLERA
590;TRAICIONERA;ALCI ACOSTA;ROCKOLERA
752;CARCEL DE SING SING;ALCI ACOSTA;ROCKOLERA
1032;LA COPA ROTA;ALCI ACOSTA;ROCKOLERA
1034;ODIO GITANO;ALCI ACOSTA;ROCKOLERA
1811;AMOR GITANO;ALCI ACOSTA;BOLERO
1844;PAPEL DE LA CALLE;ALCI ACOSTA;BOLERO
2180;SI HOY FUERA AYER;ALCI ACOSTA;ROCKOLERA
2393;TANGO NEGRO;ALCI ACOSTA;ROCKOLERA
3274;LA CAMA VACIA;ALCI ACOSTA;ROCKOLERA
3459;BRAVO;ALCI ACOSTA;ROCKOLERA
664;BRINDO POR TU CUMPLEA�OS;ALDO MONGES;BALADA
2622;HOY HE LEIDO TU CARTA;ALDO MONGES;BALADA
2643;OLVIDAME MUCHACHA;ALDO MONGES;BALADA
2646;QUE VOY HACER CON ESTE AMOR;ALDO MONGES;BALADA
3143;TE RETO A QUE ME OLVIDES;ALDO MONGES;BOLERO
3414;DIME POR QUE LLORAS;ALDO MONGES;BALADA
4618;LA TRISTEZA DE MI MUJER;ALDO MONGES;BALADA
4863;CANCION DEL ADIOS;ALDO MONGES;BALADA
4866;CORAZON PAYASO;ALDO MONGES;BALADA
5209;PARRANDERO;ALDO RANKS;REGGAETON
999;LLAMA POR FAVOR;ALEJANDRA GUZMAN;BALADA
1119;HACER EL AMOR CON OTRO;ALEJANDRA GUZMAN;BALADA
1632;REINA DE CORAZONES;ALEJANDRA GUZMAN;POP
1633;ROSAS ROJAS;ALEJANDRA GUZMAN;BALADA
